character,voice-actor,movie
Bruno the Dog,Pinto Colvig,Cinderella
"Jackson ""Jaq"" Hopscotch",Jimmy MacDonald,Cinderella
Lucifer the Cat,June Foray,Cinderella
Footman,Larry Grey,Cinderella
Anastasia Tremaine,Lucille Bliss,Cinderella
The King,Luis Van Rooten,Cinderella
The Grand Duke,Luis Van Rooten,Cinderella
Drizella Tremaine,Rhoda Williams,Cinderella
Fairy Godmother,Verna Felton,Cinderella
Prince Charming,William Phipps,Cinderella
Plio,Alfre Woodard,Dinosaur
Aladar,D. B. Sweeney,Dinosaur
Eema,Della Reese,Dinosaur
Suri,Hayden Panettiere,Dinosaur
Baylene,Joan Plowright,Dinosaur
Neera,Julianna Margulies,Dinosaur
Zini,Max Casella,Dinosaur
Yar,Ossie Davis,Dinosaur
Bruton,Peter Siragusa,Dinosaur
Jim Crow,Cliff Edwards,Dumbo
Giddy the Elephant,Dorothy Scott,Dumbo
Timothy Q. Mouse,Edward Brophy,Dumbo
The Ringmaster,Herman Bing,Dumbo
Casey Junior,Margaret Wright,Dumbo
Catty the Elephant,Noreen Gammill,Dumbo
Prissy the Elephant,Sarah Selby,Dumbo
Mr. Stork,Sterling Holloway,Dumbo
Mrs. Jumbo,Verna Felton,Dumbo
Chernabog,Corey Burton,Fantasia
Yen Sid,Corey Burton,Fantasia
Ben Ali Gator,Jim Cummings,Fantasia
Hyacinth Hippo,Tress MacNeille,Fantasia
Madame Upanova,Tress MacNeille,Fantasia
Spring Sprite,Helena Bonham Carter,Fantasia 2000
Firebird !The Firebird,Hugo Weaving,Fantasia 2000
Jack-in-the-Box,John Lithgow,Fantasia 2000
Marlin,Albert Brooks,Finding Dory
Hank,Ed O'Neill,Finding Dory
Dory,Ellen DeGeneres,Finding Dory
Nemo,Hayden Rolence,Finding Dory
Destiny,Kaitlin Olson,Finding Dory
Marlin,Albert Brooks,Finding Nemo
Nemo,Alexander Gould,Finding Nemo
Bloat,Brad Garrett,Finding Nemo
Dory,Ellen DeGeneres,Finding Nemo
Gill,Willem Dafoe,Finding Nemo
Duke of Weselton,Alan Tudyk,Frozen
Oaken,Chris Williams,Frozen
Elsa,Idina Menzel,Frozen
Kristoff,Jonathan Groff,Frozen
Olaf,Josh Gad,Frozen
Anna,Kristen Bell,Frozen
Prince Hans,Santino Fontana,Frozen
Clotho,Amanda Plummer,Hercules
Alcmene,Barbara Barrie,Hercules
Pain,Bobcat Goldthwait,Hercules
Panic,Matt Frewer,Hercules
Lachesis,Carole Shelley,Hercules
Melpomene,Cheryl Freeman,Hercules
Philoctetes,Danny DeVito,Hercules
Pegasus,Frank Welker,Hercules
Amphitryon,Hal Holbrook,Hercules
Hades,James Woods,Hercules
Nessus,Jim Cummings,Hercules
Apollo,Keith David,Hercules
Terpsichore,LaChanze,Hercules
Calliope,Lillias White,Hercules
Atropos,Paddi Edwards,Hercules
Hermes,Paul Shaffer,Hercules
Zeus,Rip Torn,Hercules
Thalia,Roz Ryan,Hercules
Hera,Samantha Eggar,Hercules
Megara,Susan Egan,Hercules
Hercules,Tate Donovan,Hercules
Clio,Van‚ese Y. Thomas,Hercules
Demetrius,Wayne Knight,Hercules
Pearl Gesner,Carole Cook,Home on the Range
Rico,Charles Dennis,Home on the Range
Lucky Jack,Charles Haid,Home on the Range
Ollie the Pig,Charlie Dell,Home on the Range
Buck,Cuba Gooding Jr.,Home on the Range
Audrey the Chicken,Estelle Harris,Home on the Range
Rusty the Dog,G.W. Bailey,Home on the Range
Grace,Jennifer Tilly,Home on the Range
Jeb the Goat,Joe Flaherty,Home on the Range
Mrs. Calloway,Judi Dench,Home on the Range
Junior the Buffalo,Lance LeGault,Home on the Range
Larry the Duck,Marshall Efron,Home on the Range
Alameda Slim,Randy Quaid,Home on the Range
Sam the Sheriff,Richard Riehle,Home on the Range
Maggie,Roseanne Barr,Home on the Range
Wesley,Steve Buscemi,Home on the Range
Joy,Amy Poehler,Inside Out
Fear,Bill Hader,Inside Out
Anger,Lewis Black,Inside Out
Disgust,Mindy Kaling,Inside Out
Sadness,Phyllis Smith,Inside Out
Bing Bong,Richard Kind,Inside Out
Lady,Barbara Luddy,Lady and the Tramp
Trusty,Bill Baucom,Lady and the Tramp
Jock,Bill Thompson,Lady and the Tramp
Tramp,Larry Roberts,Lady and the Tramp
Jim Dear,Lee Millar,Lady and the Tramp
Darling,Peggy Lee,Lady and the Tramp
Peg,Peggy Lee,Lady and the Tramp
Si & Am,Peggy Lee,Lady and the Tramp
Beaver,Stan Freberg,Lady and the Tramp
Al the Alligator,Thurl Ravenscroft,Lady and the Tramp
Aunt Sarah,Verna Felton,Lady and the Tramp
Mrs. Hasagawa,Amy Hill,Lilo & Stitch
Stitch,Chris Sanders,Lilo & Stitch
Lilo Pelekai,Daveigh Chase,Lilo & Stitch
Dr. Jumba Jookiba,David Ogden Stiers,Lilo & Stitch
David Kawena,Jason Scott Lee,Lilo & Stitch
Agent Wendy Pleakley,Kevin McDonald,Lilo & Stitch
Captain Gantu,Kevin Michael Richardson,Lilo & Stitch
Myrtle Edmonds,Miranda Paige Walls,Lilo & Stitch
Nani Pelekai,Tia Carrere,Lilo & Stitch
Cobra Bubbles,Ving Rhames,Lilo & Stitch
Grand Councilwoman,Zoe Caldwell,Lilo & Stitch
Uncle Art,Adam West,Meet the Robinsons
Mildred,Angela Bassett,Meet the Robinsons
Frankie the Frog,Aurian Redson,Meet the Robinsons
Doris,Ethan Sandler,Meet the Robinsons
Carl the Robot,Harland Williams,Meet the Robinsons
Tiny,Joe Mateo,Meet the Robinsons
Lewis,Jordan Fry,Meet the Robinsons
Lucille Krunklehorn,Laurie Metcalf,Meet the Robinsons
Goob,Matthew Josten,Meet the Robinsons
Lefty,Nathan Greno,Meet the Robinsons
Franny Robinson,Nicole Sullivan,Meet the Robinsons
Bowler Hat Guy,Stephen J. Anderson,Meet the Robinsons
Mr. Willerstein,Tom Kenny,Meet the Robinsons
Cornelius Robinson,Tom Selleck,Meet the Robinsons
Lizzy,Tracey Miller-Zarneke,Meet the Robinsons
Wilbur Robinson,Wesley Singerman,Meet the Robinsons
Heihei the Rooster,Alan Tudyk,Moana
Moana Waialiki,Auli'i Cravalho,Moana
Maui,Dwayne Johnson,Moana
Tamatoa,Jemaine Clement,Moana
Gramma Tala,Rachel House,Moana
Tui Waialiki,Temuera Morrison,Moana
Mike,Billy Crystal,Monsters University
Dean Abigail Hardscrabble,Helen Mirren,Monsters University
Sulley,John Goodman,Monsters University
"Scott ""Squishy"" Squibbles",Peter Sohn,Monsters University
Randall Boggs,Steve Buscemi,Monsters University
Mike,Billy Crystal,"Monsters, Inc."
Henry J. Waternoose III,James Coburn,"Monsters, Inc."
Sulley,John Goodman,"Monsters, Inc."
Boo,Mary Gibbs,"Monsters, Inc."
Randall Boggs,Steve Buscemi,"Monsters, Inc."
Li Shang,B.D. Wong,Mulan
Mushu,Eddie Murphy,Mulan
Fa Li,Freda Foh Shen,Mulan
Ling,Gedde Watanabe,Mulan
First Ancestor Fa,George Takei,Mulan
Yao,Harvey Fierstein,Mulan
Chi-Fu,James Hong,Mulan
General Li,James Shigeta,Mulan
Chien-Po,Jerry Tondo,Mulan
Grandmother Fa,June Foray,Mulan
Shan Yu,Miguel Ferrer,Mulan
Mulan,Ming-Na Wen,Mulan
The Matchmaker,Miriam Margoyles,Mulan
Emperor of China,Pat Morita,Mulan
Fa Zhou,Soon-Tek Oh,Mulan
Georgette,Bette Midler,Oliver & Company
Dodger,Billy Joel,Oliver & Company
DeSoto,Carl Weintraub,Oliver & Company
Tito,Cheech Marin,Oliver & Company
Fagin,Dom DeLuise,Oliver & Company
Louie the Hot Dog Man,Frank Welker,Oliver & Company
Oliver,Joey Lawrence,Oliver & Company
"Jennifer ""Jenny"" Foxworth",Natalie Gregory,Oliver & Company
Einstein,Richard Mulligan,Oliver & Company
Sykes,Robert Loggia,Oliver & Company
Francis,Roscoe Lee Browne,Oliver & Company
Rita,Sheryl Lee Ralph,Oliver & Company
Roscoe,Taurean Blacque,Oliver & Company
Winston,William Glover,Oliver & Company
Mr. Smee,Bill Thompson,Peter Pan
Peter Pan,Bobby Driscoll,Peter Pan
The Indian Chief,Candy Candido,Peter Pan
Tiger Lily,Cree Summer,Peter Pan
Captain Hook,Hans Conried,Peter Pan
George Darling,Hans Conried,Peter Pan
Mary Darling,Heather Angel,Peter Pan
Nibs,Jeffrey Silver,Peter Pan
Wendy Darling,Kathryn Beaumont,Peter Pan
Tinker Bell,Mae Whitman,Peter Pan
John Darling,Paul Collins,Peter Pan
Cubby,Robert Ellis,Peter Pan
Slightly,Stuffy Singer,Peter Pan
Michael Darling,Tommy Luske,Peter Pan
The Coachman,Charles Judels,Pinocchio
Stromboli,Charles Judels,Pinocchio
Geppetto,Christian Rub,Pinocchio
Jiminy Cricket,Cliff Edwards,Pinocchio
Pinocchio,Dickie Jones,Pinocchio
Blue Fairy,Evelyn Venable,Pinocchio
Lampwick,Frankie Darro,Pinocchio
Figaro the Cat,Mel Blanc,Pinocchio
Gideon,Mel Blanc,Pinocchio
Monstro,Thurl Ravenscroft,Pinocchio
J. Worthington Foulfellow,Walter Catlett,Pinocchio
Ben,Billy Connolly,Pocahontas
Thomas,Christian Bale,Pocahontas
Percy,Danny Mann,Pocahontas
Governor John Ratcliffe,David Ogden Stiers,Pocahontas
Wiggins,David Ogden Stiers,Pocahontas
Flit,Frank Welker,Pocahontas
Kekata the Medicine man,Gordon Tootoosis,Pocahontas
Pocahontas,Irene Bedard,Pocahontas
Kocoum,James Apaumut Fall,Pocahontas
Meeko,John Kassir,Pocahontas
Grandmother Willow,Linda Hunt,Pocahontas
Captain John Smith,Mel Gibson,Pocahontas
Nakoma,Michelle St. John,Pocahontas
Chief Powhatan,Russell Means,Pocahontas
Lumpy the Heffalump,Kyle Stanger,Pooh's Heffalump Movie
Winnie the Pooh,Jim Cummings,Pooh's Heffalump Movie
Roo,Nikita Hopkins,Pooh's Heffalump Movie
Eeyore,Peter Cullen,Pooh's Heffalump Movie
Kanga,Kath Soucie,Pooh's Heffalump Movie
Piglet,John Fiedler,Pooh's Heffalump Movie
Rabbit,Ken Sansom,Pooh's Heffalump Movie
Mama Heffalump,Brenda Blethyn,Pooh's Heffalump Movie
Auguste Gusteau,Brad Garrett,Ratatouille
Chef Skinner,Ian Holm,Ratatouille
Colette Tatou,Janeane Garofalo,Ratatouille
Alfredo Linguini,Lou Romano,Ratatouille
Remy,Patton Oswalt,Ratatouille
Danny,Andrew McDonough,Return to Never Land
The Octopus,Frank Welker,Return to Never Land
Jane,Harriet Owen,Return to Never Land
Edward,Roger Rees,Return to Never Land
Friar Tuck,Andy Devine,Robin Hood
Mother Rabbit,Barbara Luddy,Robin Hood
Skippy Bunny,Billy Whittaker,Robin Hood
Robin Hood,Brian Bedford,Robin Hood
Lady Kluck,Carole Shelley,Robin Hood
Sis Bunny,Dana Laurita,Robin Hood
Tagalong Bunny,Dori Whittaker,Robin Hood
Trigger the Vulture,George Lindsey,Robin Hood
Otto,J. Pat O'Malley,Robin Hood
Nutsy the Vulture,Ken Curtis,Robin Hood
Maid Marian,Monica Evans,Robin Hood
Sheriff of Nottingham,Pat Buttram,Robin Hood
King Richard,Peter Ustinov,Robin Hood
Prince John,Peter Ustinov,Robin Hood
Little John,Phil Harris,Robin Hood
Toby Turtle,Richie Sanders,Robin Hood
Alan-a-Dale,Roger Miller,Robin Hood
Sir Hiss,Terry-Thomas,Robin Hood
Queen Leah,Barbara Dirikson,Sleeping Beauty
Fauna,Barbara Jo Allen,Sleeping Beauty
Merryweather,Barbara Luddy,Sleeping Beauty
Prince Phillip,Bill Shirley,Sleeping Beauty
King Hubert,Bill Thompson,Sleeping Beauty
Maleficent,Eleanor Audley,Sleeping Beauty
Aurora,Mary Costa,Sleeping Beauty
King Stefan,Taylor Holmes,Sleeping Beauty
Flora,Verna Felton,Sleeping Beauty
Snow White,Adriana Caselotti,Snow White and the Seven Dwarfs
Sneezy,Billy Gilbert,Snow White and the Seven Dwarfs
Dopey,Eddie Collins,Snow White and the Seven Dwarfs
Prince,Harry Stockwell,Snow White and the Seven Dwarfs
Queen Grimhilde,Lucille La Verne,Snow White and the Seven Dwarfs
The Magic Mirror,Moroni Olsen,Snow White and the Seven Dwarfs
Happy,Otis Harlan,Snow White and the Seven Dwarfs
Grumpy,Pinto Colvig,Snow White and the Seven Dwarfs
Sleepy,Pinto Colvig,Snow White and the Seven Dwarfs
Doc,Roy Atwell,Snow White and the Seven Dwarfs
Bashful,Scotty Mattraw,Snow White and the Seven Dwarfs
Humbert the Huntsman,Stuart Buchanan,Snow White and the Seven Dwarfs
Br'er Fox,James Baskett,Song of the South
Br'er Rabbit,Johnny Lee,Song of the South
Br'er Bear,Nick Stewart,Song of the South
Mickey Mouse,Walt Disney,Steamboat Willie
Hook Hand,Brad Garrett,Tangled
Mother Gothel,Donna Murphy,Tangled
Pascal,Frank Welker,Tangled
Rapunzel,Mandy Moore,Tangled
Stabbington Brothers,Ron Perlman,Tangled
Flynn Rider,Zachary Levi,Tangled
Tarzan,Alex D. Linz,Tarzan
Clayton,Brian Blessed,Tarzan
Kala,Glenn Close,Tarzan
Mungo,Jason Marsden,Tarzan
Kerchak,Lance Henriksen,Tarzan
Jane Porter,Minnie Driver,Tarzan
Archimedes Q. Porter,Nigel Hawthorne,Tarzan
Terk,Rosie O'Donnell,Tarzan
Tarzan,Tony Goldwyn,Tarzan
Tantor,Wayne Knight,Tarzan
Angus MacBadger,Campbell Grant,The Adventures of Ichabod and Mr. Toad
Ratty,Claud Allister,The Adventures of Ichabod and Mr. Toad
Moley,Colin Campbell,The Adventures of Ichabod and Mr. Toad
J. Thaddeus Toad,Eric Blore,The Adventures of Ichabod and Mr. Toad
Cyril Proudbottom,J. Pat O'Malley,The Adventures of Ichabod and Mr. Toad
Winkie the Barman,Oliver Wallace,The Adventures of Ichabod and Mr. Toad
Ichabod Crane,Pinto Colvig,The Adventures of Ichabod and Mr. Toad
Uncle Waldo,Bill Thompson,The Aristocats
Amelia Gabble,Carole Shelley,The Aristocats
Georges Hautecourt,Charles Lane,The Aristocats
Berlioz,Dean Clark,The Aristocats
Duchess,Eva Gabor,The Aristocats
Toulouse,Gary Dubin,The Aristocats
Lafayette the Basset Hound,George Lindsey,The Aristocats
Madame Adelaide Bonfamille,Hermione Baddeley,The Aristocats
Marie,Liz English,The Aristocats
Hit Cat the English Cat,Lord Tim Hudson,The Aristocats
Abigail Gabble,Monica Evans,The Aristocats
Frou-Frou,Nancy Kulp,The Aristocats
Napoleon the Bloodhound,Pat Buttram,The Aristocats
Shun Gon the Chinese Cat,Paul Winchell,The Aristocats
Thomas O'Malley,Phil Harris,The Aristocats
Edgar Balthazar the Butler,Roddy Maude-Roxby,The Aristocats
Scat Cat,Scatman Crothers,The Aristocats
Roquefort the Mouse,Sterling Holloway,The Aristocats
Billy Boss,Thurl Ravenscroft,The Aristocats
Peppo the Italian Cat,Vito Scotti,The Aristocats
Orwen,Adele Malis-Morey,The Black Cauldron
King Eiddileg,Arthur Malet,The Black Cauldron
Orgoch,Billie Hayes,The Black Cauldron
Orddu,Eda Reiss Merin,The Black Cauldron
Dallben,Freddie Jones,The Black Cauldron
Taran,Grant Bardsley,The Black Cauldron
Doli,John Byner,The Black Cauldron
Gurgi,John Byner,The Black Cauldron
The Horned King,John Hurt,The Black Cauldron
Fflewddur Fflam,Nigel Hawthorne,The Black Cauldron
Creeper,Phil Fondacaro,The Black Cauldron
Princess Eilonwy,Susan Sheridan,The Black Cauldron
Bucky the Squirrel,Bob Bergen,The Emperor's New Groove
Kuzco,David Spade,The Emperor's New Groove
Yzma,Eartha Kitt,The Emperor's New Groove
Tipo,Eli Russell Linnetz,The Emperor's New Groove
Pacha,John Goodman,The Emperor's New Groove
Chaca,Kellyann Kelso,The Emperor's New Groove
Kronk Pepikrankenitz,Patrick Warburton,The Emperor's New Groove
Chicha,Wendie Malick,The Emperor's New Groove
Copper,Kurt Russell,The Fox and the Hound
Amos Slade,Jack Albertson,The Fox and the Hound
Widow Tweed,Jeanette Nolan,The Fox and the Hound
Tod,Mickey Rooney,The Fox and the Hound
Chief,Pat Buttram,The Fox and the Hound
Boomer,Paul Winchell,The Fox and the Hound
Big Mama,Pearl Bailey,The Fox and the Hound
Dinky,Richard Bakalyan,The Fox and the Hound
Vixey,Sandy Duncan,The Fox and the Hound
Nash,A.J. Buckley,The Good Dinosaur
Ramsey,Anna Paquin,The Good Dinosaur
Spot,Jack Bright,The Good Dinosaur
Arlo,Raymond Ochoa,The Good Dinosaur
Butch,Sam Elliott,The Good Dinosaur
Thunderclap,Steve Zahn,The Good Dinosaur
Hiram Flaversham,Alan Young,The Great Mouse Detective
Bartholomew,Barrie Ingham,The Great Mouse Detective
Basil of Baker Street,Barrie Ingham,The Great Mouse Detective
Fidget,Candy Candido,The Great Mouse Detective
Mrs. Judson,Diana Chesney,The Great Mouse Detective
Queen Mousetoria,Eve Brenner,The Great Mouse Detective
Felicia the Cat,Frank Welker,The Great Mouse Detective
Toby the Dog,Frank Welker,The Great Mouse Detective
Miss Kitty,Melissa Manchester,The Great Mouse Detective
Lady Mouse,Shani Wallis,The Great Mouse Detective
Olivia Flaversham,Susanne Pollatschek,The Great Mouse Detective
Dr. David Q. Dawson,Val Bettin,The Great Mouse Detective
Professor Ratigan,Vincent Price,The Great Mouse Detective
Victor,Charles Kimbrough,The Hunchback of Notre Dame
The Archdeacon,David Ogden Stiers,The Hunchback of Notre Dame
Esmeralda,Demi Moore,The Hunchback of Notre Dame
Hugo,Jason Alexander,The Hunchback of Notre Dame
Captain Phoebus,Kevin Kline,The Hunchback of Notre Dame
Laverne,Mary Wickes,The Hunchback of Notre Dame
Clopin Trouillefou,Paul Kandel,The Hunchback of Notre Dame
Quasimodo,Tom Hulce,The Hunchback of Notre Dame
Judge Claude Frollo,Tony Jay,The Hunchback of Notre Dame
Bob Parr/Mr Incredible,Craig T. Nelson,The Incredibles
Helen Parr/Elastigirl,Holly Hunter,The Incredibles
Buddy Pine/Syndrome,Jason Lee,The Incredibles
Lucius Best/Frozone,Samuel L. Jackson,The Incredibles
Violet Parr,Sarah Vowell,The Incredibles
Dash Parr,Spencer Fox,The Incredibles
Father Wolf,Ben Wright,The Jungle Book
Mowgli,Bruce Reitherman,The Jungle Book
Flaps the Vulture,Chad Stuart,The Jungle Book
Junior,Clint Howard,The Jungle Book
Shanti (The Girl),Darleen Carr,The Jungle Book
Ziggy the Vulture,Digby Wolfe,The Jungle Book
Shere Khan,George Sanders,The Jungle Book
Buzzie the Vulture,J. Pat O'Malley,The Jungle Book
Colonel Hathi,J. Pat O'Malley,The Jungle Book
Akela,John Abbott,The Jungle Book
Flunkey the Baboon,Leo De Lyon,The Jungle Book
Dizzie the Vulture,Lord Tim Hudson,The Jungle Book
King Louie,Louis Prima,The Jungle Book
Baloo Bear,Phil Harris,The Jungle Book
Bagheera,Sebastian Cabot,The Jungle Book
Kaa,Sterling Holloway,The Jungle Book
Winifred the Elephant,Verna Felton,The Jungle Book
Banzai,Cheech Marin,The Lion King
Pumbaa,Ernie Sabella,The Lion King
Mufasa,James Earl Jones,The Lion King
Scar,Jeremy Irons,The Lion King
Ed,Jim Cummings,The Lion King
Simba,Jonathan Taylor Thomas,The Lion King
Sarabi,Madge Sinclair,The Lion King
Simba,Matthew Broderick,The Lion King
Nala,Moira Kelly,The Lion King
Timon,Nathan Lane,The Lion King
Rafiki,Robert Guillaume,The Lion King
Zazu,Rowan Atkinson,The Lion King
Shenzi,Whoopi Goldberg,The Lion King
Sarafina,Zoe Leader,The Lion King
Grimsby,Ben Wright,The Little Mermaid
Scuttle,Buddy Hackett,The Little Mermaid
Prince Eric,Christopher Daniel Barnes,The Little Mermaid
Carlotta the Maid,Edie McClurg,The Little Mermaid
Max the Sheepdog,Frank Welker,The Little Mermaid
Aquata,Caroline Vasicek,The Little Mermaid
Flounder,Jason Marin,The Little Mermaid
Ariel,Jodi Benson,The Little Mermaid
