character,voice-actor,movie,Award,image
Morcupine Porcupine,Mark Dindal,Chicken Little,,./images/character/Morcupine Porcupine
Goosey Loosey,Mark Walton,Chicken Little,,./images/character/Goosey Loosey
Mr Woolensworth,Patrick Stewart,Chicken Little,,./images/character/Mr Woolensworth
Kirby,Sean Elmore,Chicken Little,,./images/character/Kirby
Runt of the Litter,Steve Zahn,Chicken Little,,./images/character/Runt of the Litter
Chicken Little,Zach Braff,Chicken Little,,./images/character/Chicken Little
Lady Tremaine,Eleanor Audley,Cinderella,,./images/character/Lady Tremaine
Cinderella,Ilene Woods,Cinderella,,./images/character/Cinderella
Gus Lollygagger,Jimmy MacDonald,Cinderella,,./images/character/Gus Lollygagger
Bruno the Dog,Pinto Colvig,Cinderella,,./images/character/Bruno the Dog
Jackson Jaq Hopscotch,Jimmy MacDonald,Cinderella,,./images/character/Jackson Jaq Hopscotch
Lucifer the Cat,June Foray,Cinderella,,./images/character/Lucifer the Cat
Anastasia Tremaine,Lucille Bliss,Cinderella,,./images/character/Anastasia Tremaine
The King,Luis Van Rooten,Cinderella,,./images/character/The King
The Grand Duke,Luis Van Rooten,Cinderella,,./images/character/The Grand Duke
Drizella Tremaine,Rhoda Williams,Cinderella,,./images/character/Drizella Tremaine
Fairy Godmother,Verna Felton,Cinderella,,./images/character/Fairy Godmother
Prince Charming,William Phipps,Cinderella,,./images/character/Prince Charming
Plio,Alfre Woodard,Dinosaur,,./images/character/Plio
Aladar,D. B. Sweeney,Dinosaur,,./images/character/Aladar
Eema,Della Reese,Dinosaur,,./images/character/Eema
Suri,Hayden Panettiere,Dinosaur,,./images/character/Suri
Neera,Julianna Margulies,Dinosaur,,./images/character/Neera
Zini,Max Casella,Dinosaur,,./images/character/Zini
Yar,Ossie Davis,Dinosaur,,./images/character/Yar
Bruton,Peter Siragusa,Dinosaur,,./images/character/Bruton
Jim Crow,Cliff Edwards,Dumbo,,./images/character/Jim Crow
Giddy the Elephant,Dorothy Scott,Dumbo,,./images/character/Giddy the Elephant
Timothy Q Mouse,Edward Brophy,Dumbo,,./images/character/Timothy Q Mouse
The Ringmaster,Herman Bing,Dumbo,,./images/character/The Ringmaster
Casey Junior,Margaret Wright,Dumbo,,./images/character/Casey Junior
Catty the Elephant,Noreen Gammill,Dumbo,,./images/character/Catty the Elephant
Prissy the Elephant,Sarah Selby,Dumbo,,./images/character/Prissy the Elephant
Mr Stork,Sterling Holloway,Dumbo,,./images/character/Mr Stork
Mrs Jumbo,Verna Felton,Dumbo,,./images/character/Mrs Jumbo
Chernabog,Corey Burton,Fantasia,,./images/character/Chernabog
Yen Sid,Corey Burton,Fantasia,,./images/character/Yen Sid
Ben Ali Gator,Jim Cummings,Fantasia,,./images/character/Ben Ali Gator
Hyacinth Hippo,Tress MacNeille,Fantasia,,./images/character/Hyacinth Hippo
Madame Upanova,Tress MacNeille,Fantasia,,./images/character/Madame Upanova
Spring Sprite,Helena Bonham Carter,Fantasia 2000,,./images/character/Spring Sprite
Firebird,Hugo Weaving,Fantasia 2000,,./images/character/Firebird
Jack-in-the-Box,John Lithgow,Fantasia 2000,,./images/character/Jack-in-the-Box
Marlin,Albert Brooks,Finding Dory,,./images/character/Marlin
Hank,Ed O'Neill,Finding Dory,,./images/character/Hank
Dory,Ellen DeGeneres,Finding Dory,,./images/character/Dory
Nemo,Hayden Rolence,Finding Dory,,./images/character/Nemo
Destiny,Kaitlin Olson,Finding Dory,,./images/character/Destiny
Marlin,Albert Brooks,Finding Nemo,,./images/character/Marlin
Nemo,Alexander Gould,Finding Nemo,,./images/character/Nemo
Bloat,Brad Garrett,Finding Nemo,,./images/character/Bloat
Dory,Ellen DeGeneres,Finding Nemo,,./images/character/Dory
Gill,Willem Dafoe,Finding Nemo,,./images/character/Gill
Duke of Weselton,Alan Tudyk,Frozen,,./images/character/Duke of Weselton
Oaken,Chris Williams,Frozen,,./images/character/Oaken
Elsa,Idina Menzel,Frozen,,./images/character/Elsa
Kristoff,Jonathan Groff,Frozen,,./images/character/Kristoff
Olaf,Josh Gad,Frozen,,./images/character/Olaf
Anna,Kristen Bell,Frozen,,./images/character/Anna
Prince Hans,Santino Fontana,Frozen,,./images/character/Prince Hans
Mickey Mouse,Walt Disney,Fun and Fancy Free,1931/1932:Special Award:Mickey Mouse;1938:Special Award:Snow White and the Seven Dwarfs;1941:Irving G. Thalberg Memorial Award:nan,./images/character/Mickey Mouse
Donald Duck,Clarence Nash,Fun and Fancy Free,,./images/character/Donald Duck
Goofy Goof,Pinto Colvig,Fun and Fancy Free,,./images/character/Goofy Goof
Jiminy Cricket,Cliff Edwards,Fun and Fancy Free,,./images/character/Jiminy Cricket
Willie the Giant,Billy Gilbert,Fun and Fancy Free,,./images/character/Willie the Giant
Singing Harp,Anita Gordon,Fun and Fancy Free,,./images/character/Singing Harp
Pain,Bobcat Goldthwait,Hercules,,./images/character/Pain
Panic,Matt Frewer,Hercules,,./images/character/Panic
Philoctetes,Danny DeVito,Hercules,,./images/character/Philoctetes
Pegasus,Frank Welker,Hercules,,./images/character/Pegasus
Hades,James Woods,Hercules,,./images/character/Hades
Zeus,Rip Torn,Hercules,,./images/character/Zeus
Hera,Samantha Eggar,Hercules,,./images/character/Hera
Megara,Susan Egan,Hercules,,./images/character/Megara
Hercules,Tate Donovan,Hercules,,./images/character/Hercules
Rico,Charles Dennis,Home on the Range,,./images/character/Rico
Lucky Jack,Charles Haid,Home on the Range,,./images/character/Lucky Jack
Buck,Cuba Gooding Jr.,Home on the Range,1996:Actor in a Supporting Role:Jerry Maguire,./images/character/Buck
Grace,Jennifer Tilly,Home on the Range,,./images/character/Grace
Mrs Calloway,Judi Dench,Home on the Range,1998:Actress in a Supporting Role:Shakespeare in Love,./images/character/Mrs Calloway
Alameda Slim,Randy Quaid,Home on the Range,,./images/character/Alameda Slim
Maggie,Roseanne Barr,Home on the Range,,./images/character/Maggie
Wesley,Steve Buscemi,Home on the Range,,./images/character/Wesley
Joy,Amy Poehler,Inside Out,,./images/character/Joy
Fear,Bill Hader,Inside Out,,./images/character/Fear
Anger,Lewis Black,Inside Out,,./images/character/Anger
Disgust,Mindy Kaling,Inside Out,,./images/character/Disgust
Sadness,Phyllis Smith,Inside Out,,./images/character/Sadness
Bing Bong,Richard Kind,Inside Out,,./images/character/Bing Bong
Lady,Barbara Luddy,Lady and the Tramp,,./images/character/Lady
Trusty,Bill Baucom,Lady and the Tramp,,./images/character/Trusty
Jock,Bill Thompson,Lady and the Tramp,,./images/character/Jock
Tramp,Larry Roberts,Lady and the Tramp,,./images/character/Tramp
Jim Dear,Lee Millar,Lady and the Tramp,,./images/character/Jim Dear
Darling,Peggy Lee,Lady and the Tramp,,./images/character/Darling
Peg,Peggy Lee,Lady and the Tramp,,./images/character/Peg
Si & Am,Peggy Lee,Lady and the Tramp,,./images/character/Si & Am
Beaver,Stan Freberg,Lady and the Tramp,,./images/character/Beaver
Aunt Sarah,Verna Felton,Lady and the Tramp,,./images/character/Aunt Sarah
Mrs Hasagawa,Amy Hill,Lilo & Stitch,,./images/character/Mrs Hasagawa
Stitch,Chris Sanders,Lilo & Stitch,,./images/character/Stitch
Lilo Pelekai,Daveigh Chase,Lilo & Stitch,,./images/character/Lilo Pelekai
Dr Jumba Jookiba,David Ogden Stiers,Lilo & Stitch,,./images/character/Dr Jumba Jookiba
David Kawena,Jason Scott Lee,Lilo & Stitch,,./images/character/David Kawena
Agent Wendy Pleakley,Kevin McDonald,Lilo & Stitch,,./images/character/Agent Wendy Pleakley
Captain Gantu,Kevin Michael Richardson,Lilo & Stitch,,./images/character/Captain Gantu
Nani Pelekai,Tia Carrere,Lilo & Stitch,,./images/character/Nani Pelekai
Cobra Bubbles,Ving Rhames,Lilo & Stitch,,./images/character/Cobra Bubbles
Grand Councilwoman,Zoe Caldwell,Lilo & Stitch,,./images/character/Grand Councilwoman
Narrator,Sterling Holloway,Make Mine Music,,./images/character/Narrator
Tetti-Tatti,Nelson Eddy,Make Mine Music,,./images/character/Tetti-Tatti
Uncle Art,Adam West,Meet the Robinsons,,./images/character/Uncle Art
Mildred,Angela Bassett,Meet the Robinsons,,./images/character/Mildred
Doris,Ethan Sandler,Meet the Robinsons,,./images/character/Doris
Carl the Robot,Harland Williams,Meet the Robinsons,,./images/character/Carl the Robot
Tiny,Joe Mateo,Meet the Robinsons,,./images/character/Tiny
Lewis,Jordan Fry,Meet the Robinsons,,./images/character/Lewis
Wilbur Robinson,Wesley Singerman,Meet the Robinsons,,./images/character/Wilbur Robinson
Johnny Appleseed,Dennis Day,Melody Time,,./images/character/Johnny Appleseed
Johnny Appleseed's Angel,Dallas McKennon,Melody Time,,./images/character/Johnny Appleseed's Angel
Aracuan Bird,Pinto Colvig,Melody Time,,./images/character/Aracuan Bird
Heihei the Rooster,Alan Tudyk,Moana,,./images/character/Heihei the Rooster
Moana Waialiki,Auli'i Cravalho,Moana,,./images/character/Moana Waialiki
Maui,Dwayne Johnson,Moana,,./images/character/Maui
Tamatoa,Jemaine Clement,Moana,,./images/character/Tamatoa
Gramma Tala,Rachel House,Moana,,./images/character/Gramma Tala
Tui Waialiki,Temuera Morrison,Moana,,./images/character/Tui Waialiki
Mike,Billy Crystal,Monsters University,,./images/character/Mike
Dean Abigail Hardscrabble,Helen Mirren,Monsters University,2006:Actress in a Leading Role:The Queen,./images/character/Dean Abigail Hardscrabble
Sulley,John Goodman,Monsters University,,./images/character/Sulley
Scott Squishy Squibbles,Peter Sohn,Monsters University,,./images/character/Scott Squishy Squibbles
Randall Boggs,Steve Buscemi,Monsters University,,./images/character/Randall Boggs
Mike,Billy Crystal,"Monsters, Inc.",,./images/character/Mike
Henry J Waternoose III,James Coburn,"Monsters, Inc.",1998:Actor in a Supporting Role:Affliction,./images/character/Henry J Waternoose III
Sulley,John Goodman,"Monsters, Inc.",,./images/character/Sulley
Boo,Mary Gibbs,"Monsters, Inc.",,./images/character/Boo
Randall Boggs,Steve Buscemi,"Monsters, Inc.",,./images/character/Randall Boggs
Li Shang,B.D. Wong,Mulan,,./images/character/Li Shang
Mushu,Eddie Murphy,Mulan,,./images/character/Mushu
Ling,Gedde Watanabe,Mulan,,./images/character/Ling
First Ancestor Fa,George Takei,Mulan,,./images/character/First Ancestor Fa
Yao,Harvey Fierstein,Mulan,,./images/character/Yao
Chi-Fu,James Hong,Mulan,,./images/character/Chi-Fu
Chien-Po,Jerry Tondo,Mulan,,./images/character/Chien-Po
Shan Yu,Miguel Ferrer,Mulan,,./images/character/Shan Yu
Mulan,Ming-Na Wen,Mulan,,./images/character/Mulan
Georgette,Bette Midler,Oliver & Company,,./images/character/Georgette
Dodger,Billy Joel,Oliver & Company,,./images/character/Dodger
Tito,Cheech Marin,Oliver & Company,,./images/character/Tito
Fagin,Dom DeLuise,Oliver & Company,,./images/character/Fagin
Louie the Hot Dog Man,Frank Welker,Oliver & Company,,./images/character/Louie the Hot Dog Man
Oliver,Joey Lawrence,Oliver & Company,,./images/character/Oliver
Jenny Foxworth,Natalie Gregory,Oliver & Company,,./images/character/Jenny Foxworth
Sykes,Robert Loggia,Oliver & Company,,./images/character/Sykes
Mr Smee,Bill Thompson,Peter Pan,,./images/character/Mr Smee
Peter Pan,Bobby Driscoll,Peter Pan,1949:Special Award:nan,./images/character/Peter Pan
Captain Hook,Hans Conried,Peter Pan,,./images/character/Captain Hook
George Darling,Hans Conried,Peter Pan,,./images/character/George Darling
Mary Darling,Heather Angel,Peter Pan,,./images/character/Mary Darling
Wendy Darling,Kathryn Beaumont,Peter Pan,,./images/character/Wendy Darling
John Darling,Paul Collins,Peter Pan,,./images/character/John Darling
Michael Darling,Tommy Luske,Peter Pan,,./images/character/Michael Darling
The Coachman,Charles Judels,Pinocchio,,./images/character/The Coachman
Stromboli,Charles Judels,Pinocchio,,./images/character/Stromboli
Geppetto,Christian Rub,Pinocchio,,./images/character/Geppetto
Jiminy Cricket,Cliff Edwards,Pinocchio,,./images/character/Jiminy Cricket
Pinocchio,Dickie Jones,Pinocchio,,./images/character/Pinocchio
Gideon,Mel Blanc,Pinocchio,,./images/character/Gideon
J Worthington Foulfellow,Walter Catlett,Pinocchio,,./images/character/J Worthington Foulfellow
Thomas,Christian Bale,Pocahontas,2010:Actor in a Supporting Role:The Fighter,./images/character/Thomas
Governor John Ratcliffe,David Ogden Stiers,Pocahontas,,./images/character/Governor John Ratcliffe
Wiggins,David Ogden Stiers,Pocahontas,,./images/character/Wiggins
Flit,Frank Welker,Pocahontas,,./images/character/Flit
Pocahontas,Irene Bedard,Pocahontas,,./images/character/Pocahontas
Meeko,John Kassir,Pocahontas,,./images/character/Meeko
Grandmother Willow,Linda Hunt,Pocahontas,1983:Actress in a Supporting Role:The Year of Living Dangerously,./images/character/Grandmother Willow
Captain John Smith,Mel Gibson,Pocahontas,1995:Directing:Braveheart ,./images/character/Captain John Smith
Chief Powhatan,Russell Means,Pocahontas,,./images/character/Chief Powhatan
Lumpy the Heffalump,Kyle Stanger,Pooh's Heffalump Movie,,./images/character/Lumpy the Heffalump
Winnie the Pooh,Jim Cummings,Pooh's Heffalump Movie,,./images/character/Winnie the Pooh
Roo,Nikita Hopkins,Pooh's Heffalump Movie,,./images/character/Roo
Eeyore,Peter Cullen,Pooh's Heffalump Movie,,./images/character/Eeyore
Kanga,Kath Soucie,Pooh's Heffalump Movie,,./images/character/Kanga
Piglet,John Fiedler,Pooh's Heffalump Movie,,./images/character/Piglet
Rabbit,Ken Sansom,Pooh's Heffalump Movie,,./images/character/Rabbit
Tigger,Jim Cummings,Pooh's Heffalump Movie,,./images/character/Tigger
Auguste Gusteau,Brad Garrett,Ratatouille,,./images/character/Auguste Gusteau
Chef Skinner,Ian Holm,Ratatouille,,./images/character/Chef Skinner
Colette Tatou,Janeane Garofalo,Ratatouille,,./images/character/Colette Tatou
Alfredo Linguini,Lou Romano,Ratatouille,,./images/character/Alfredo Linguini
Remy,Patton Oswalt,Ratatouille,,./images/character/Remy
Danny,Andrew McDonough,Return to Never Land,,./images/character/Danny
Jane,Harriet Owen,Return to Never Land,,./images/character/Jane
Edward,Roger Rees,Return to Never Land,,./images/character/Edward
Peter Pan,Blayne Weaver,Return to Never Land,,./images/character/Peter Pan
Captain Hook,Corey Burton,Return to Never Land,,./images/character/Captain Hook
Mr Smee,Jeff Bennett,Return to Never Land,,./images/character/Mr Smee
Friar Tuck,Andy Devine,Robin Hood,,./images/character/Friar Tuck
Mother Rabbit,Barbara Luddy,Robin Hood,,./images/character/Mother Rabbit
Robin Hood,Brian Bedford,Robin Hood,,./images/character/Robin Hood
Lady Kluck,Carole Shelley,Robin Hood,,./images/character/Lady Kluck
Trigger the Vulture,George Lindsey,Robin Hood,,./images/character/Trigger the Vulture
Maid Marian,Monica Evans,Robin Hood,,./images/character/Maid Marian
Sheriff of Nottingham,Pat Buttram,Robin Hood,,./images/character/Sheriff of Nottingham
King Richard,Peter Ustinov,Robin Hood,1960:Actor in a Supporting Role:Spartacus;1964:Actor in a Supporting Role:Topkapi,./images/character/King Richard
Prince John,Peter Ustinov,Robin Hood,1960:Actor in a Supporting Role:Spartacus;1964:Actor in a Supporting Role:Topkapi,./images/character/Prince John
Little John,Phil Harris,Robin Hood,,./images/character/Little John
Sir Hiss,Terry-Thomas,Robin Hood,,./images/character/Sir Hiss
Donald Duck,Clarence Nash,Saludos Amigos,,./images/character/Donald Duck
Jose Carioca,Jose Oliveira,Saludos Amigos,,./images/character/Jose Carioca
Goofy Goof,Pinto Colvig,Saludos Amigos,,./images/character/Goofy Goof
Fauna,Barbara Jo Allen,Sleeping Beauty,,./images/character/Fauna
Merryweather,Barbara Luddy,Sleeping Beauty,,./images/character/Merryweather
Prince Phillip,Bill Shirley,Sleeping Beauty,,./images/character/Prince Phillip
King Hubert,Bill Thompson,Sleeping Beauty,,./images/character/King Hubert
Maleficent,Eleanor Audley,Sleeping Beauty,,./images/character/Maleficent
Aurora,Mary Costa,Sleeping Beauty,,./images/character/Aurora
King Stefan,Taylor Holmes,Sleeping Beauty,,./images/character/King Stefan
Flora,Verna Felton,Sleeping Beauty,,./images/character/Flora
Snow White,Adriana Caselotti,Snow White and the Seven Dwarfs,,./images/character/Snow White
Sneezy,Billy Gilbert,Snow White and the Seven Dwarfs,,./images/character/Sneezy
Dopey,Eddie Collins,Snow White and the Seven Dwarfs,,./images/character/Dopey
Prince,Harry Stockwell,Snow White and the Seven Dwarfs,,./images/character/Prince
The Evil Queen,Lucille La Verne,Snow White and the Seven Dwarfs,,./images/character/The Evil Queen
The Magic Mirror,Moroni Olsen,Snow White and the Seven Dwarfs,,./images/character/The Magic Mirror
Happy,Otis Harlan,Snow White and the Seven Dwarfs,,./images/character/Happy
Grumpy,Pinto Colvig,Snow White and the Seven Dwarfs,,./images/character/Grumpy
Sleepy,Pinto Colvig,Snow White and the Seven Dwarfs,,./images/character/Sleepy
Doc,Roy Atwell,Snow White and the Seven Dwarfs,,./images/character/Doc
Bashful,Scotty Mattraw,Snow White and the Seven Dwarfs,,./images/character/Bashful
Humbert the Huntsman,Stuart Buchanan,Snow White and the Seven Dwarfs,,./images/character/Humbert the Huntsman
Br'er Fox,James Baskett,Song of the South,1947:Special Award:Song of the South,./images/character/Br'er Fox
Br'er Rabbit,Johnny Lee,Song of the South,,./images/character/Br'er Rabbit
Br'er Bear,Nick Stewart,Song of the South,,./images/character/Br'er Bear
Mickey Mouse,Walt Disney,Steamboat Willie,1931/1932:Special Award:�??Mickey Mouse�?�;1938:Special Award:Snow White and the Seven Dwarfs;1941:Irving G. Thalberg Memorial Award:nan,./images/character/Mickey Mouse
Hook Hand,Brad Garrett,Tangled,,./images/character/Hook Hand
Mother Gothel,Donna Murphy,Tangled,,./images/character/Mother Gothel
